ip,method,status,is_error,request_count,error_ratio,status_group,anomaly
192.168.1.1,GET,200,0,1,0.0,2,1
192.168.1.2,GET,200,0,1,0.0,2,1
192.168.1.3,POST,401,1,3,0.3333333333333333,4,1
192.168.1.3,POST,401,1,3,0.3333333333333333,4,1
192.168.1.3,POST,401,1,3,0.3333333333333333,4,1
192.168.1.4,GET,200,0,1,0.0,2,1
192.168.1.5,POST,200,0,1,0.0,2,1
192.168.1.6,DELETE,403,1,1,1.0,4,1
192.168.1.7,GET,404,1,1,1.0,4,1
192.168.1.8,PUT,200,0,1,0.0,2,1
192.168.1.9,GET,500,1,1,1.0,5,-1
192.168.1.10,POST,201,0,1,0.0,2,-1
192.168.1.11,GET,200,0,1,0.0,2,1
192.168.1.12,POST,401,1,3,0.3333333333333333,4,1
192.168.1.12,POST,401,1,3,0.3333333333333333,4,1
192.168.1.12,POST,401,1,3,0.3333333333333333,4,1
192.168.1.13,DELETE,200,0,1,0.0,2,1
192.168.1.14,GET,404,1,1,1.0,4,1
192.168.1.15,PUT,403,1,1,1.0,4,1
192.168.1.16,GET,200,0,1,0.0,2,1
192.168.1.17,POST,500,1,1,1.0,5,-1
192.168.1.18,GET,200,0,1,0.0,2,1
192.168.1.19,PATCH,200,0,1,0.0,2,1
192.168.1.20,GET,403,1,1,1.0,4,1
10.0.0.1,GET,200,0,1,0.0,2,1
10.0.0.2,POST,201,0,1,0.0,2,-1
10.0.0.3,GET,404,1,1,1.0,4,1
10.0.0.4,POST,401,1,4,0.25,4,-1
10.0.0.4,POST,401,1,4,0.25,4,-1
10.0.0.4,POST,401,1,4,0.25,4,-1
10.0.0.4,POST,401,1,4,0.25,4,-1
10.0.0.5,DELETE,200,0,1,0.0,2,1
10.0.0.6,PUT,200,0,1,0.0,2,1
10.0.0.7,GET,500,1,1,1.0,5,-1
10.0.0.8,PATCH,200,0,1,0.0,2,1
10.0.0.9,GET,403,1,1,1.0,4,1
10.0.0.10,POST,201,0,1,0.0,2,-1
10.0.0.11,GET,200,0,1,0.0,2,1
10.0.0.12,DELETE,403,1,1,1.0,4,1
10.0.0.13,GET,404,1,1,1.0,4,1
10.0.0.14,POST,200,0,1,0.0,2,1
10.0.0.15,PUT,500,1,1,1.0,5,-1
10.0.0.16,GET,200,0,1,0.0,2,1
10.0.0.17,POST,401,1,2,0.5,4,-1
10.0.0.17,POST,401,1,2,0.5,4,-1
10.0.0.18,GET,200,0,1,0.0,2,1
10.0.0.19,PATCH,404,1,1,1.0,4,1
10.0.0.20,DELETE,200,0,1,0.0,2,1
172.16.0.1,GET,200,0,1,0.0,2,1
172.16.0.2,POST,201,0,1,0.0,2,-1
172.16.0.3,GET,404,1,1,1.0,4,1
172.16.0.4,PUT,200,0,1,0.0,2,1
172.16.0.5,DELETE,403,1,1,1.0,4,1
172.16.0.6,GET,500,1,1,1.0,5,-1
172.16.0.7,POST,401,1,3,0.3333333333333333,4,1
172.16.0.7,POST,401,1,3,0.3333333333333333,4,1
172.16.0.7,POST,401,1,3,0.3333333333333333,4,1
172.16.0.8,GET,200,0,1,0.0,2,1
172.16.0.9,PATCH,200,0,1,0.0,2,1
172.16.0.10,GET,404,1,1,1.0,4,1
172.16.0.11,POST,200,0,1,0.0,2,1
172.16.0.12,DELETE,200,0,1,0.0,2,1
172.16.0.13,GET,403,1,1,1.0,4,1
172.16.0.14,PUT,201,0,1,0.0,2,-1
172.16.0.15,GET,200,0,1,0.0,2,1
172.16.0.16,POST,500,1,1,1.0,5,-1
172.16.0.17,GET,200,0,1,0.0,2,1
172.16.0.18,DELETE,404,1,1,1.0,4,1
172.16.0.19,PATCH,200,0,1,0.0,2,1
172.16.0.20,GET,403,1,1,1.0,4,1
203.0.113.1,GET,200,0,1,0.0,2,1
203.0.113.2,POST,401,1,5,0.2,4,-1
203.0.113.2,POST,401,1,5,0.2,4,-1
203.0.113.2,POST,401,1,5,0.2,4,-1
203.0.113.2,POST,401,1,5,0.2,4,-1
203.0.113.2,POST,401,1,5,0.2,4,-1
203.0.113.3,GET,200,0,1,0.0,2,1
203.0.113.4,DELETE,200,0,1,0.0,2,1
203.0.113.5,PUT,404,1,1,1.0,4,1
203.0.113.6,GET,500,1,1,1.0,5,-1
203.0.113.7,POST,201,0,1,0.0,2,-1
203.0.113.8,GET,200,0,1,0.0,2,1
203.0.113.9,PATCH,403,1,1,1.0,4,1
203.0.113.10,GET,200,0,1,0.0,2,1
203.0.113.11,POST,200,0,1,0.0,2,1
203.0.113.12,DELETE,404,1,1,1.0,4,1
203.0.113.13,GET,200,0,1,0.0,2,1
203.0.113.14,PUT,500,1,1,1.0,5,-1
203.0.113.15,GET,200,0,1,0.0,2,1
203.0.113.16,POST,401,1,2,0.5,4,-1
203.0.113.16,POST,401,1,2,0.5,4,-1
203.0.113.17,GET,200,0,1,0.0,2,1
203.0.113.18,PATCH,200,0,1,0.0,2,1
203.0.113.19,GET,403,1,1,1.0,4,1
203.0.113.20,DELETE,200,0,1,0.0,2,1
198.51.100.1,GET,200,0,1,0.0,2,1
198.51.100.2,POST,201,0,1,0.0,2,-1
198.51.100.3,GET,404,1,1,1.0,4,1
198.51.100.4,PUT,200,0,1,0.0,2,1
198.51.100.5,DELETE,403,1,1,1.0,4,1
198.51.100.6,GET,200,0,1,0.0,2,1
198.51.100.7,POST,500,1,1,1.0,5,-1
198.51.100.8,GET,200,0,1,0.0,2,1
198.51.100.9,PATCH,200,0,1,0.0,2,1
198.51.100.10,GET,404,1,1,1.0,4,1
198.51.100.11,POST,401,1,3,0.3333333333333333,4,1
198.51.100.11,POST,401,1,3,0.3333333333333333,4,1
198.51.100.11,POST,401,1,3,0.3333333333333333,4,1
198.51.100.12,DELETE,200,0,1,0.0,2,1
198.51.100.13,GET,200,0,1,0.0,2,1
198.51.100.14,PUT,403,1,1,1.0,4,1
198.51.100.15,GET,200,0,1,0.0,2,1
198.51.100.16,POST,201,0,1,0.0,2,-1
